"data","nchutefezgol","diaSemana","time","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","estadio","resultado"
"16/10/19",0,"qua","Grêmio",0,0.33,18,6,0.63,554,0.9,13,3,0,1,10,"casa","perdeu"
"16/10/19",0.12,"qua","Vasco da Gama",2,0.5,16,8,0.36,275,0.74,15,1,0,1,3,"casa","venceu"
"17/10/19",0.12,"qui","Santos",2,0.25,16,4,0.68,493,0.84,15,3,0,3,5,"casa","venceu"
"17/10/19",0,"qui","Avaí",0,0.35,17,6,0.29,273,0.75,7,1,1,0,6,"casa","perdeu"
"16/10/19",0.1,"qua","Goiás",2,0.2,20,4,0.44,305,0.76,10,2,2,2,5,"casa","empatou"
"19/10/19",0.2,"sáb","Fortaleza",2,0.5,10,5,0.4,341,0.8,13,4,0,1,1,"casa","venceu"
"20/10/19",0.05,"seg","São Paulo",1,0.32,22,7,0.78,682,0.89,23,4,0,2,12,"casa","venceu"
"20/10/19",0,"seg","Internacional",0,0.37,19,7,0.71,605,0.88,14,3,0,2,12,"casa","perdeu"
"19/10/19",0.08,"sáb","Corinthians",1,0.31,13,4,0.55,463,0.85,15,3,0,0,4,"casa","perdeu"
"20/10/19",0.22,"seg","Atlético-MG",2,0.44,9,4,0.3,224,0.68,24,3,0,1,3,"casa","venceu"
"20/10/19",0.07,"seg","Athletico-PR",1,0.43,14,6,0.53,432,0.79,23,1,0,0,2,"casa","empatou"
"20/10/19",0.12,"seg","Flamengo",2,0.44,16,7,0.47,364,0.81,23,3,0,0,10,"casa","venceu"
"21/10/19",0.12,"ter","Botafogo",2,0.29,17,5,0.43,389,0.88,18,2,0,2,4,"casa","venceu"
"21/10/19",0.08,"ter","Bahia",1,0.33,12,4,0.48,384,0.77,14,2,0,4,6,"casa","perdeu"
"20/10/19",0.17,"seg","Chapecoense",2,0.33,12,4,0.49,311,0.81,23,2,0,1,6,"casa","empatou"
"26/10/19",0.04,"seg","Fluminense",1,0.31,26,8,0.68,563,0.86,11,1,0,0,5,"casa","empatou"
"26/10/19",0,"seg","Corinthians",0,0.36,14,5,0.36,285,0.72,20,3,0,0,4,"casa","empatou"
"26/10/19",0.06,"seg","Ceará SC",1,0.24,17,4,0.64,544,0.84,11,3,0,3,11,"casa","empatou"
"26/10/19",0.15,"seg","Bahia",2,0.38,13,5,0.56,470,0.78,16,1,0,1,6,"casa","perdeu"
"27/10/19",0.12,"ter","São Paulo",2,0.38,16,6,0.61,543,0.85,9,0,0,3,6,"casa","venceu"
"27/10/19",0.06,"ter","Flamengo",1,0.39,18,7,0.64,605,0.9,20,1,0,1,6,"casa","venceu"
"27/10/19",0.14,"ter","Grêmio",3,0.48,21,10,0.53,497,0.86,13,3,0,1,5,"casa","venceu"
"27/10/19",0.09,"ter","Avaí",1,0.55,11,6,0.37,266,0.65,18,3,0,0,6,"casa","perdeu"
"30/10/19",0.06,"sáb","Vasco da Gama",1,0.06,16,1,0.43,363,0.8,9,2,0,0,10,"casa","perdeu"
"30/10/19",0.16,"sáb","Palmeiras",3,0.42,19,8,0.31,267,0.75,12,0,0,1,6,"casa","venceu"
"30/10/19",0,"sáb","Atlético-MG",0,0.05,20,1,0.71,475,0.81,15,3,0,2,18,"casa","perdeu"
"30/10/19",0.2,"sáb","Ceará SC",2,0.5,10,5,0.28,275,0.78,12,1,0,1,4,"casa","venceu"
"30/10/19",0.09,"sáb","Avaí",1,0.27,11,3,0.51,431,0.83,20,4,1,0,3,"casa","perdeu"
"31/10/19",0.11,"dom","Goiás",2,0.22,18,4,0.37,227,0.7,18,5,0,4,3,"casa","empatou"
"31/10/19",0.05,"dom","Santos",1,0.26,19,5,0.62,450,0.84,17,5,0,3,4,"casa","venceu"
"31/10/19",0,"dom","Botafogo",0,0.2,20,4,0.57,406,0.8,15,1,0,1,12,"casa","perdeu"
"30/10/19",0.2,"sáb","CSA",2,0.5,10,5,0.44,371,0.81,17,6,0,1,5,"casa","venceu"
"31/10/19",0.07,"dom","Internacional",1,0.29,14,4,0.55,484,0.81,14,3,0,1,3,"casa","empatou"
"02/11/19",0.11,"ter","Palmeiras",1,0.22,9,2,0.56,493,0.88,14,2,0,2,7,"casa","venceu"
"03/11/19",0.25,"qua","Flamengo",4,0.31,16,5,0.69,636,0.88,12,0,0,1,8,"casa","venceu"
"02/11/19",0,"ter","Chapecoense",0,0.3,27,8,0.38,313,0.85,19,2,0,0,6,"casa","perdeu"
"02/11/19",0,"ter","Fluminense",0,0.2,20,4,0.67,610,0.87,7,2,0,2,8,"casa","empatou"
"02/11/19",0.11,"ter","Fortaleza",2,0.33,18,6,0.59,433,0.85,18,3,0,1,7,"casa","empatou"
"03/11/19",0.06,"qua","Cruzeiro",1,0.29,17,5,0.64,489,0.89,16,2,1,4,3,"casa","empatou"
"03/11/19",0.09,"qua","Goiás",2,0.26,23,6,0.48,354,0.8,19,1,0,0,4,"casa","venceu"
"03/11/19",0.17,"qua","Santos",4,0.52,23,12,0.63,480,0.83,16,1,0,1,9,"casa","venceu"
"03/11/19",0.1,"qua","Grêmio",2,0.43,21,9,0.59,518,0.87,16,2,0,1,5,"casa","venceu"
"06/11/19",0.08,"dom","Avaí",1,0.31,13,4,0.47,359,0.76,19,4,1,0,8,"casa","perdeu"
"06/11/19",0.2,"dom","Corinthians",3,0.4,15,6,0.59,559,0.88,18,2,0,1,2,"casa","venceu"
"06/11/19",0.08,"dom","Atlético-MG",2,0.42,26,11,0.53,380,0.8,15,0,0,4,10,"casa","venceu"
"06/11/19",0.12,"dom","Vasco da Gama",1,0.38,8,3,0.45,309,0.72,17,7,1,1,3,"casa","perdeu"
"07/11/19",0,"seg","São Paulo",0,0.19,21,4,0.57,612,0.89,6,2,0,0,2,"casa","perdeu"
"07/11/19",0,"seg","Botafogo",0,0.33,6,2,0.29,207,0.57,16,4,1,0,1,"casa","perdeu"
"07/11/19",0.22,"seg","Ceará SC",2,0.44,9,4,0.4,413,0.8,8,2,0,3,6,"casa","venceu"
"06/11/19",0.04,"dom","Bahia",1,0.3,23,7,0.67,483,0.84,20,1,0,3,6,"casa","empatou"
"07/11/19",0.11,"seg","Grêmio",2,0.16,19,3,0.65,646,0.92,15,3,0,0,11,"casa","venceu"
"09/11/19",0,"qui","Goiás",0,0.22,9,2,0.43,344,0.78,19,4,0,2,5,"casa","perdeu"
"10/11/19",0,"sex","Cruzeiro",0,0.12,16,2,0.59,426,0.79,9,1,0,1,4,"casa","empatou"
"09/11/19",0.05,"qui","Palmeiras",1,0.33,21,7,0.46,323,0.78,12,2,0,3,9,"casa","empatou"
"10/11/19",0.13,"sex","Internacional",2,0.33,15,5,0.39,408,0.81,16,3,0,1,4,"casa","venceu"
"10/11/19",0,"sex","Chapecoense",0,0.12,17,2,0.48,425,0.89,10,2,0,0,5,"casa","perdeu"
"10/11/19",0,"sex","CSA",0,0.25,20,5,0.59,472,0.86,17,1,1,4,5,"casa","perdeu"
"10/11/19",0.11,"sex","Fortaleza",1,0.22,9,2,0.36,283,0.74,13,4,0,0,3,"casa","venceu"
"10/11/19",0.14,"sex","Flamengo",3,0.38,21,8,0.67,526,0.85,10,1,0,3,11,"casa","venceu"
"11/11/19",0.12,"sáb","Botafogo",2,0.24,17,4,0.37,295,0.78,19,4,0,1,4,"casa","venceu"
"16/11/19",0.07,"sáb","Fluminense",1,0.27,15,4,0.54,504,0.82,15,2,0,0,1,"casa","empatou"
"16/11/19",0.06,"sáb","Santos",1,0.19,16,3,0.41,320,0.77,14,0,0,0,3,"casa","empatou"
"13/11/19",0.36,"ter","Flamengo",4,0.36,11,4,0.68,513,0.84,23,6,0,0,5,"casa","empatou"
"17/11/19",0,"dom","Grêmio",0,0.27,22,6,0.69,559,0.84,9,1,0,3,10,"casa","perdeu"
"17/11/19",0.07,"dom","Bahia",1,0.33,15,5,0.45,404,0.84,17,2,0,1,2,"casa","empatou"
"18/11/19",0.11,"seg","Vasco da Gama",1,0.33,9,3,0.47,360,0.78,22,2,0,3,3,"casa","empatou"
"17/11/19",0,"dom","Corinthians",0,0.21,14,3,0.49,411,0.77,9,0,0,2,5,"casa","empatou"
"17/11/19",0.08,"dom","Chapecoense",1,0.42,12,5,0.4,325,0.8,13,2,0,0,6,"casa","venceu"
"17/11/19",0.2,"dom","Fortaleza",3,0.4,15,6,0.64,516,0.88,10,0,0,0,4,"casa","venceu"
"23/11/19",0.16,"dom","Santos",4,0.44,25,11,0.57,456,0.83,16,2,0,4,10,"casa","venceu"
"24/11/19",0.31,"ter","Goiás",4,0.38,13,5,0.47,367,0.82,14,2,0,2,4,"casa","venceu"
"18/11/19",0,"seg","Cruzeiro",0,0.19,16,3,0.73,573,0.86,14,3,0,0,17,"casa","empatou"
"24/11/19",0.06,"ter","Palmeiras",1,0.35,17,6,0.39,376,0.78,14,2,0,1,4,"casa","perdeu"
"24/11/19",0.12,"ter","Botafogo",1,0.62,8,5,0.28,239,0.64,11,4,0,2,2,"casa","venceu"
"24/11/19",0.09,"ter","Internacional",2,0.26,23,6,0.61,539,0.86,16,4,0,0,9,"casa","empatou"
"25/11/19",0,"qua","CSA",0,0.22,18,4,0.39,372,0.84,15,2,0,1,5,"casa","perdeu"
"24/11/19",0,"ter","Avaí",0,0.15,13,2,0.58,490,0.83,11,0,1,0,4,"casa","perdeu"
"24/11/19",0.06,"ter","Ceará SC",1,0.33,18,6,0.49,434,0.82,12,3,0,0,13,"casa","empatou"
"27/11/19",0.04,"sex","Internacional",1,0.38,24,9,0.69,562,0.83,22,2,0,3,11,"casa","perdeu"
"27/11/19",0.06,"sex","Bahia",1,0.25,16,4,0.58,463,0.82,12,1,0,0,10,"casa","empatou"
"27/11/19",0.15,"sex","Flamengo",4,0.26,27,7,0.66,553,0.9,13,2,0,0,13,"casa","venceu"
"27/11/19",0,"sex","Chapecoense",0,0.12,25,3,0.59,396,0.85,12,2,0,0,5,"casa","perdeu"
"28/11/19",0.18,"dom","Fortaleza",2,0.27,11,3,0.37,246,0.76,16,2,0,1,5,"casa","venceu"
"28/11/19",0.08,"dom","Fluminense",1,0.31,13,4,0.45,468,0.86,15,3,0,0,2,"casa","venceu"
"28/11/19",0.07,"dom","São Paulo",1,0.4,15,6,0.56,486,0.85,29,4,0,2,5,"casa","venceu"
"27/11/19",0.09,"sex","Corinthians",3,0.28,32,9,0.65,503,0.86,15,0,0,2,7,"casa","venceu"
"28/11/19",0,"dom","Cruzeiro",0,0.43,21,9,0.73,525,0.84,9,0,0,1,9,"casa","perdeu"
"30/11/19",0.06,"ter","Ceará SC",1,0.5,16,8,0.52,382,0.8,17,7,0,1,6,"casa","empatou"
"01/12/19",0.07,"qua","Palmeiras",1,0.36,14,5,0.44,420,0.86,18,1,0,4,3,"casa","perdeu"
"01/12/19",0.05,"qua","Goiás",1,0.21,19,4,0.58,421,0.83,11,1,0,2,14,"casa","perdeu"
"01/12/19",0.2,"qua","Avaí",1,0.2,5,1,0.43,377,0.78,26,4,0,0,3,"casa","empatou"
"30/11/19",0,"ter","Botafogo",0,0.12,8,1,0.44,374,0.8,8,2,0,3,5,"casa","perdeu"
"01/12/19",0.08,"qua","CSA",1,0.31,13,4,0.52,414,0.83,9,3,0,4,6,"casa","perdeu"
"02/12/19",0.17,"qui","Vasco da Gama",1,0.17,6,1,0.41,295,0.71,16,3,0,1,2,"casa","venceu"
"01/12/19",0.23,"qua","Grêmio",3,0.31,13,4,0.42,375,0.8,15,0,0,0,1,"casa","venceu"
"01/12/19",0.14,"qua","Atlético-MG",2,0.64,14,9,0.41,273,0.73,15,3,0,2,7,"casa","venceu"
"01/12/19",0.18,"qua","Santos",2,0.45,11,5,0.68,499,0.88,18,3,0,2,3,"casa","venceu"
"04/12/19",0,"dom","Fluminense",0,0.23,13,3,0.59,560,0.87,16,1,1,0,6,"casa","empatou"
"04/12/19",0.11,"dom","Athletico-PR",1,0.33,9,3,0.51,366,0.79,16,2,0,3,6,"casa","venceu"
"04/12/19",0.07,"dom","Atlético-MG",2,0.3,27,8,0.48,419,0.81,11,1,0,2,11,"casa","venceu"
"04/12/19",0.16,"dom","Chapecoense",3,0.32,19,6,0.56,468,0.87,21,1,0,1,2,"casa","venceu"
"04/12/19",0,"dom","Ceará SC",0,0.22,9,2,0.36,261,0.74,15,2,1,2,9,"casa","perdeu"
"05/12/19",0.14,"seg","Grêmio",2,0.5,14,7,0.63,580,0.86,11,0,0,1,5,"casa","venceu"
"05/12/19",0.5,"seg","Palmeiras",5,0.6,10,6,0.44,382,0.85,21,5,0,1,1,"casa","venceu"
"04/12/19",0.11,"dom","São Paulo",2,0.42,19,8,0.42,368,0.79,20,3,0,3,8,"casa","venceu"
"05/12/19",0.29,"seg","Flamengo",6,0.62,21,13,0.68,608,0.88,18,0,0,0,8,"casa","venceu"
"05/12/19",0.07,"seg","Bahia",1,0.27,15,4,0.46,436,0.86,21,2,1,1,2,"casa","empatou"
"08/12/19",0.19,"sex","Santos",4,0.38,21,8,0.51,391,0.82,12,2,0,4,3,"casa","venceu"
"08/12/19",0.1,"sex","Internacional",2,0.35,20,7,0.65,470,0.83,11,4,0,2,18,"casa","venceu"
"08/12/19",0.07,"sex","Botafogo",1,0.13,15,2,0.51,394,0.84,12,0,0,0,3,"casa","empatou"
"08/12/19",0.06,"sex","Corinthians",1,0.19,16,3,0.6,538,0.83,21,1,0,0,3,"casa","perdeu"
"08/12/19",0.04,"sex","CSA",1,0.25,24,6,0.42,349,0.88,17,1,0,1,6,"casa","perdeu"
"08/12/19",0.25,"sex","Fortaleza",2,0.5,8,4,0.57,417,0.84,9,2,0,4,2,"casa","venceu"
"08/12/19",0.04,"sex","Vasco da Gama",1,0.29,24,7,0.52,378,0.83,18,2,0,1,7,"casa","empatou"
"08/12/19",0,"sex","Cruzeiro",0,0.33,9,3,0.57,505,0.86,11,0,0,1,4,"casa","perdeu"
"08/12/19",0.17,"sex","Goiás",3,0.33,18,6,0.45,309,0.79,21,1,0,1,7,"casa","venceu"
"08/08/20",0,"qua","Coritiba",0,0,2,0,0.42,382,0.74,11,3,0,3,2,"casa","perdeu"
"08/08/20",0.33,"qua","Sport Recife",3,0.33,9,3,0.4,324,0.77,15,3,0,3,2,"casa","venceu"
"09/08/20",0,"qui","Flamengo",0,0.12,17,2,0.63,525,0.8,12,3,0,2,9,"casa","perdeu"
"09/08/20",0.1,"qui","Santos",1,0.4,10,4,0.54,444,0.81,10,0,0,4,4,"casa","empatou"
"08/08/20",0,"qua","Fortaleza",0,0.27,11,3,0.43,414,0.86,14,3,1,1,4,"casa","perdeu"
"12/08/20",0.08,"seg","Bahia",1,0.42,12,5,0.45,420,0.8,16,0,0,1,3,"casa","venceu"
"12/08/20",0.11,"seg","Athletico-PR",2,0.21,19,4,0.79,728,0.92,16,3,0,1,3,"casa","venceu"
"09/08/20",0.07,"qui","Grêmio",1,0.27,15,4,0.53,496,0.8,24,2,0,2,6,"casa","venceu"
"12/08/20",0.12,"seg","Atlético-MG",3,0.52,25,13,0.56,515,0.81,19,0,0,3,8,"casa","venceu"
"12/08/20",0.04,"seg","Bragantino",1,0.35,23,8,0.55,558,0.88,13,3,0,1,12,"casa","empatou"
"13/08/20",0.08,"ter","Internacional",2,0.28,25,7,0.59,515,0.83,28,2,0,2,9,"casa","venceu"
"12/08/20",0.1,"seg","Fluminense",1,0.1,10,1,0.52,430,0.82,20,3,0,3,3,"casa","empatou"
"13/08/20",0.08,"ter","São Paulo",1,0.23,13,3,0.52,474,0.87,16,1,0,4,5,"casa","venceu"
"12/08/20",0.09,"seg","Ceará SC",1,0.45,11,5,0.42,421,0.8,17,3,0,1,1,"casa","empatou"
"12/08/20",0.23,"seg","Atlético-GO",3,0.54,13,7,0.34,284,0.72,15,1,0,2,11,"casa","venceu"
"13/08/20",0.22,"ter","Vasco da Gama",2,0.67,9,6,0.46,371,0.81,29,2,0,1,5,"casa","venceu"
"15/08/20",0,"qui","Coritiba",0,0.22,9,2,0.35,286,0.74,25,4,1,3,5,"casa","perdeu"
"15/08/20",0,"qui","Grêmio",0,0.33,24,8,0.47,491,0.86,16,2,0,0,7,"casa","empatou"
"15/08/20",0.08,"qui","Palmeiras",1,0.25,12,3,0.65,668,0.86,11,1,0,0,6,"casa","empatou"
"16/08/20",0.18,"sáb","Atlético-MG",2,0.55,11,6,0.61,475,0.82,14,2,0,2,4,"casa","venceu"
"16/08/20",0.2,"sáb","Bahia",2,0.4,10,4,0.42,381,0.76,16,1,0,2,3,"casa","venceu"
"16/08/20",0.2,"sáb","Fluminense",2,0.5,10,5,0.43,339,0.76,13,2,0,1,1,"casa","venceu"
"16/08/20",0.09,"sáb","Atlético-GO",1,0.36,11,4,0.31,237,0.68,13,0,1,0,4,"casa","empatou"
"16/08/20",0,"sáb","Fortaleza",0,0.08,12,1,0.59,561,0.9,9,2,0,2,4,"casa","empatou"
"16/08/20",0.25,"sáb","Vasco da Gama",2,0.38,8,3,0.4,379,0.82,16,2,0,1,3,"casa","venceu"
"19/08/20",0.08,"ter","Goiás",1,0.31,13,4,0.48,379,0.82,16,4,0,3,2,"casa","perdeu"
"16/08/20",0.27,"sáb","Santos",3,0.55,11,6,0.32,290,0.77,9,1,0,0,2,"casa","venceu"
"19/08/20",0.15,"ter","Bragantino",2,0.23,13,3,0.52,438,0.82,19,5,0,2,6,"casa","venceu"
"19/08/20",0,"ter","Athletico-PR",0,0,6,0,0.56,459,0.8,23,5,0,0,5,"casa","perdeu"
"19/08/20",0.12,"ter","Flamengo",1,0.25,8,2,0.61,596,0.87,17,3,0,1,1,"casa","empatou"
