data;time-casa;gol-casa;chutes-casa;chutesgol-casa;possebola-casa;passes-casa;Precisaopasse-casa;faltas-casa;cartaoamarelo-casa;cartaovermelho-casa;impedimentos-casa;escanteios-casa;time-fora;gol-fora;chutes-fora;chutesgol-fora;possebola-fora;passes-fora;Precisaopasse-fora;faltas-fora;cartaoamarelo-fora;cartaovermelho-fora;impedimentos-fora;escanteios-fora
18/07/21;Atlético-GO;0;11;1;58%;476;85%;8;2;0;4;4;Palmeiras;3;15;6;42%;337;82%;16;1;0;3;6
18/07/21;Chapecoense;2;11;6;41%;372;81%;15;2;0;1;6;Cuiabá;3;11;6;59%;543;86%;13;2;0;2;2
18/07/21;Bragantino;2;11;5;39%;316;74%;17;3;0;2;5;Santos;2;16;5;61%;485;80%;15;6;0;3;4
19/07/21;América-MG;0;16;3;64%;468;81%;19;1;0;2;9;Sport Recife;1;11;5;36%;274;66%;22;3;0;2;4
25/07/21;Atlético-MG;3;12;5;60%;511;86%;17;2;0;3;8;Bahia;0;11;5;40%;331;81%;14;1;0;0;8
21/07/21;Cuiabá;2;20;7;56%;444;83%;17;5;0;0;0;Atlético-GO;1;9;3;44%;346;75%;14;4;1;0;4
24/07/21;Palmeiras;1;10;1;50%;484;85%;13;1;0;2;7;Fluminense;0;9;3;50%;476;90%;9;2;0;1;5
24/07/21;Grêmio;1;12;4;52%;471;77%;20;3;0;1;8;América-MG;1;18;7;48%;432;77%;16;3;0;1;5
25/07/21;Athletico-PR;2;11;4;53%;413;81%;14;4;0;1;8;Internacional;1;13;3;47%;373;82%;13;3;0;0;2
25/07/21;Sport Recife;0;12;0;55%;415;80%;12;4;0;2;2;Ceará SC;0;14;0;45%;345;77%;13;1;0;1;8
25/07/21;Santos;0;29;2;75%;659;89%;14;2;0;3;15;Atlético-GO;1;7;2;25%;242;67%;7;2;0;2;2
25/07/21;Fortaleza;1;14;4;34%;279;71%;21;4;0;1;3;Bragantino;0;13;4;66%;513;83%;14;2;0;0;5
25/07/21;Flamengo;5;12;8;58%;428;78%;23;3;0;2;7;São Paulo;1;18;6;42%;316;72%;16;6;0;4;4
26/07/21;Juventude;1;13;2;32%;266;73%;16;5;0;1;3;Chapecoense;0;7;2;68%;545;86%;15;1;0;1;1
31/07/21;São Paulo;0;12;3;54%;403;81%;20;3;1;2;7;Palmeiras;0;7;3;46%;350;79%;15;3;0;1;2
31/07/21;Internacional;0;12;3;58%;510;81%;20;1;1;2;2;Cuiabá;0;13;4;42%;379;77%;18;3;0;0;3
26/07/21;Cuiabá;1;16;7;53%;501;85%;16;2;1;4;5;Corinthians;2;4;2;47%;467;81%;12;1;0;2;5
31/07/21;Bragantino;1;12;3;53%;531;82%;13;1;0;1;4;Grêmio;0;7;1;47%;473;80%;19;2;0;0;5
01/08/21;Atlético-GO;1;7;2;53%;388;73%;21;4;0;1;4;América-MG;1;16;5;47%;338;73%;14;0;0;1;5
01/08/21;Atlético-MG;2;11;3;61%;616;90%;14;2;1;1;4;Athletico-PR;0;8;1;39%;400;80%;12;3;0;1;2
01/08/21;Corinthians;1;9;3;34%;389;79%;7;1;0;0;3;Flamengo;3;17;7;66%;742;89%;13;1;0;1;6
01/08/21;Bahia;0;21;4;60%;512;86%;16;2;0;0;11;Sport Recife;1;8;2;40%;354;78%;18;3;0;1;2
01/08/21;Chapecoense;0;20;6;44%;361;77%;17;0;0;3;6;Santos;1;11;5;56%;458;83%;13;0;0;0;5
07/08/21;Cuiabá;1;11;2;40%;315;75%;15;1;1;2;4;Bahia;1;9;4;60%;455;83%;17;2;0;5;11
07/08/21;Palmeiras;2;20;2;62%;507;85%;22;4;1;1;6;Fortaleza;3;15;6;38%;324;77%;13;1;1;2;2
07/08/21;Athletico-PR;1;15;6;52%;427;80%;12;2;0;1;8;São Paulo;2;11;4;48%;419;80%;16;4;1;2;2
06/08/21;Sport Recife;0;17;7;38%;274;73%;17;3;0;0;9;Bragantino;0;13;4;62%;451;85%;14;1;0;1;8
01/08/21;Ceará SC;3;12;4;48%;313;75%;13;2;0;2;5;Fortaleza;1;28;8;52%;331;79%;12;3;0;1;9
