"nchutefezgol","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","data","diaSemana","time","estadio","resultado"
0,0,0.448717948717949,0.583333333333333,0.545454545454545,0.404255319148936,0.269681742043551,0.758620689655172,0.714285714285714,0.5,0,0.2,0.533333333333333,"06/01/21","sáb","Bahia","fora","perdeu"
0.15,0.25,0.448717948717949,0.583333333333333,0.545454545454545,0.48936170212766,0.291457286432161,0.758620689655172,0.714285714285714,0.5,0,0.2,0.533333333333333,"10/01/21","qui","Bahia","fora","empatou"
0.15,0.25,0.371794871794872,0.583333333333333,0.454545454545455,0.51063829787234,0.32998324958124,0.758620689655172,0.619047619047619,0.5,0,0.2,0.533333333333333,"24/01/21","dom","Bahia","fora","perdeu"
0.15,0.25,0.32051282051282,0.541666666666667,0.363636363636364,0.48936170212766,0.32998324958124,0.689655172413793,0.571428571428571,0,0,0.2,0.4,"31/01/21","ter","Bahia","fora","empatou"
0,0,0.282051282051282,0.25,0.181818181818182,0.48936170212766,0.328308207705193,0.758620689655172,0.523809523809524,0,0,0.2,0.4,"13/02/21","qui","Bahia","fora","empatou"
0,0,0.282051282051282,0.25,0.181818181818182,0.297872340425532,0.1892797319933,0.517241379310345,0.19047619047619,0.166666666666667,0,0.2,0.2,"20/02/21","sex","Bahia","fora","venceu"
0.2,0.25,0.487179487179487,0.375,0.454545454545455,0.234042553191489,0.219430485762144,0.758620689655172,0.380952380952381,0.5,0,0.2,0.133333333333333,"05/06/21","ter","Bahia","fora","empatou"
0.825,0.75,0.487179487179487,0.375,0.454545454545455,0.234042553191489,0.127303182579564,0.517241379310345,0.380952380952381,0.5,0,0.2,0.133333333333333,"17/06/21","qua","Bahia","fora","venceu"
0.825,0.75,0.423076923076923,0.25,0.272727272727273,0.234042553191489,0.122278056951424,0.344827586206896,0.380952380952381,0.666666666666667,0,0.2,0.133333333333333,"27/06/21","seg","Bahia","fora","perdeu"
0.55,0.5,0.423076923076923,0.25,0.272727272727273,0.234042553191489,0.122278056951424,0.344827586206896,0.523809523809524,0.666666666666667,0,0.2,0.133333333333333,"04/07/21","qua","Bahia","fora","venceu"
0.375,0.5,0.423076923076923,0.416666666666667,0.363636363636364,0.297872340425532,0.182579564489112,0.413793103448276,0.523809523809524,0.666666666666667,0,0,0.333333333333333,"10/07/21","qua","Bahia","fora","perdeu"
0.275,0.5,0.423076923076923,0.416666666666667,0.363636363636364,0.297872340425532,0.199329983249581,0.413793103448276,0.476190476190476,0.166666666666667,0,0,0.333333333333333,"25/07/21","seg","Bahia","fora","perdeu"
0,0,0.576923076923077,0.333333333333333,0.454545454545455,0.25531914893617,0.199329983249581,0.586206896551724,0.428571428571429,0.166666666666667,0,0,0.333333333333333,"07/08/21","ter","Bahia","fora","empatou"
0,0,0.564102564102564,0.25,0.363636363636364,0.25531914893617,0.199329983249581,0.655172413793104,0.476190476190476,0.166666666666667,0,0,0.533333333333333,"21/08/21","sáb","Bahia","fora","perdeu"
